index,pcode,mfg,racquet,headsize,length,weight,balance,swingweight,flex,acor,sweet,rccode,current,twistweight,hittingweight,vibration,filter,distance,spin,angle,shotspeed,swingspeed,plow,time
494,HRRP,Head,Graphene 360+ Radical Pro,98,27.0,332,32.4,330,65,0.316,16.9,RCHEAD,x,14.1,133,146,21/2-effort,66.3,1507,3.0,66.2,49.3,42,0.83
496,BPSTRI,Babolat,Pure Strike 100 3rd Gen,100,27.0,323,33.0,327,66,0.319,17.0,RCBABOLAT,x,15.0,134,155,21/2-effort,66.4,1511,2.9,66.5,49.4,43,0.83
514,PK15TP,ProKennex,Ki Q+ Tour (315) (2019),98,27.0,332,32.5,321,64,0.303,14.9,RCPK,x,13.5,129,141,21/2-effort,66.4,1516,3.1,65.6,49.5,41,0.84
529,U100CV,Wilson,Ultra 100 Countervail,100,27.0,318,33.1,322,75,0.316,16.5,RCWILSON,x,15.3,133,175,21/2-effort,66.7,1519,2.9,66.5,49.6,42,0.83
537,GTPP,Head,Graphene Touch Prestige Pro,95,27.0,332,32.5,322,63,0.306,16.1,RCHEAD,x,13.8,130,140,21/2-effort,66.4,1515,3.1,65.7,49.5,42,0.84
542,H3SPWR,Head,Graphene 360+ Speed PWR,115,27.4,275,35.6,319,69,0.319,17.1,RCHEAD,x,16.5,134,164,21/2-effort,67.2,1535,2.9,67.1,49.9,43,0.83
548,HINPWR,Head,Graphene 360+ Instinct PWR,115,27.7,244,38.1,312,70,0.308,16.2,RCHEAD,x,15.8,130,170,21/2-effort,67.6,1551,3.0,66.8,50.3,42,0.84
633,HGTIMP,Head,Graphene Touch Instinct MP,100,27.0,315,33.8,312,71,0.306,15.5,RCHEAD,x,15.4,130,162,21/2-effort,66.8,1528,3.0,66.1,49.8,42,0.84
655,1HEZPB,Yonex,EZONE 100+ (300g) Blue,100,27.5,318,34.0,337,70,0.327,17.9,RCYONEX,x,14.8,137,154,21/2-effort,66.0,1496,2.8,66.6,49.0,43,0.82
656,H360EP,Head,Graphene 360 Extreme Pro,100,27.0,329,32.5,331,64,0.321,16.7,RCHEAD,x,14.8,135,141,21/2-effort,66.3,1507,2.9,66.5,49.3,43,0.83
661,WB9882,Wilson,Blade 98 (18x20),98,27.0,323,33.0,334,62,0.321,17.2,RCWILSON,x,14.3,134,132,21/2-effort,66.2,1504,2.9,66.4,49.2,43,0.83
680,TFPS3H,Tecnifibre,T-Flash PS 300,100,27.0,304,33.0,320,71,0.305,16.1,RCTFUSA,x,14.0,129,156,21/2-effort,67.0,1531,3.1,66.1,49.8,41,0.84
691,BPAP,Babolat,Pure Aero Plus,100,27.5,321,33.4,331,69,0.319,17.2,RCBABOLAT,x,14.4,134,154,21/2-effort,66.2,1505,2.9,66.3,49.2,43,0.83
707,BPAR,Babolat,Pure Aero (2019),100,27.0,318,33.0,324,67,0.318,17.1,RCBABOLAT,x,15.4,134,143,21/2-effort,66.6,1518,2.9,66.6,49.5,43,0.83
726,H3SMPL,Head,Graphene 360+ Speed MP Lite,100,27.0,292,34.0,313,64,0.295,15.3,RCHEAD,x,13.5,126,145,21/2-effort,67.2,1541,3.2,65.7,50.1,41,0.85
733,PDTR,Babolat,Pure Drive Tour,100,27.0,331,32.9,328,71,0.322,17.4,RCBAB,x,15.3,135,159,21/2-effort,66.3,1506,2.9,66.5,49.2,43,0.83
745,RCX2,Dunlop,Srixon Revo CX 2.0,98,27.0,318,32.5,314,68,0.297,15.3,RCDUNLOP,x,13.6,127,157,21/2-effort,66.9,1533,3.2,65.6,49.9,41,0.85
765,RV3F,Dunlop,Srixon Revo CV 3.0 F,100,27.0,318,33.0,317,69,0.308,16.2,RCDUNLOP,x,14.8,130,169,21/2-effort,66.8,1526,3.0,66.1,49.7,42,0.84
789,PDTRP,Babolat,Pure Drive Tour Plus,100,27.5,332,33.1,336,72,0.323,17.9,RCBAB,x,14.4,135,162,21/2-effort,66.0,1495,2.9,66.3,49.0,43,0.83
790,PT95,Prince,Tour 95,95,27.0,345,32.4,337,60,0.323,17.1,RCPRINCE,x,14.3,136,131,21/2-effort,65.8,1491,2.9,66.2,48.9,43,0.82
806,YVC10P,Yonex,VCORE 100+ (2021),100,27.5,333,34.0,333,66,0.322,17.2,RCYONEX,x,14.7,135,145,21/2-effort,65.8,1491,2.9,66.1,48.9,43,0.83
852,HG3RMP,Head,Graphene 360 Radical MP,98,27.0,312,32.4,324,68,0.305,16.2,RCHEAD,x,13.6,130,152,21/2-effort,66.8,1526,3.1,66.0,49.7,42,0.84
861,H360IL,Head,Graphene 360 Instinct Lite,107,27.2,286,35.0,311,64,0.31,15.8,RCHEAD,x,16.1,131,146,21/2-effort,67.3,1540,3.0,66.7,50.1,42,0.84
938,HGTRMP,Head,Graphene Touch Radical MP,98,27.0,310,33.0,327,65,0.313,16.7,RCHEAD,x,14.3,132,151,21/2-effort,66.6,1519,3.0,66.3,49.6,42,0.84
961,BS0398,Prince,Textreme Beast O3 98,98,27.0,318,32.5,326,69,0.316,17.0,RCTWABG,x,14.8,133,155,21/2-effort,66.7,1519,2.9,66.5,49.6,42,0.83
964,BRPDR,Babolat,Pure Drive (2021),100,27.0,318,33.0,320,71,0.316,17.0,RCBABOLAT,x,15.6,133,161,21/2-effort,66.8,1522,2.9,66.6,49.6,43,0.83
